TPE, 05/JUL/2024, 15/JUL/2024, 1350, 0
TPE, 05/JUL/2024, 16/JUL/2024, 1350, 0
TPE, 06/JUL/2024, 16/JUL/2024, 1350, 0
TPE, 06/JUL/2024, 17/JUL/2024, 1350, 0
TPE, 07/JUL/2024, 17/JUL/2024, 1250, 0
TPE, 07/JUL/2024, 18/JUL/2024, 1250, 0
TPE, 08/JUL/2024, 18/JUL/2024, 1150, 0
TPE, 08/JUL/2024, 19/JUL/2024, 1150, 0
TPE, 09/JUL/2024, 19/JUL/2024, 1150, 0
TPE, 09/JUL/2024, 20/JUL/2024, 1150, 0
TPE, 10/JUL/2024, 20/JUL/2024, 1150, 0
TPE, 10/JUL/2024, 21/JUL/2024, 1150, 0
TPE, 11/JUL/2024, 21/JUL/2024, 1150, 0
TPE, 11/JUL/2024, 22/JUL/2024, 1150, 0
